DATE,ACCOUNT,Transcript
2020-05-06 02:31:59,clearlyblonde,"b'The show Upload @UploadOnPrime is so funny. #UploadTV Instead of ""Jet Lag"" you get ""Death Lag"" when you upload to The After Life. \xf0\x9f\x98\x86\xf0\x9f\x98\x82\xf0\x9f\x98\x86\xf0\x9f\x98\x82 Loved this show: and watched it all in one sitting!  https://t.co/RxBIJVoNqu @primevideo #ad You\'re welcome.'"
2020-05-06 02:29:05,S_am_eaa,"b""ready to binge amazon prime's #UploadTV ... again.... for the third time. \xf0\x9f\x8d\xbf\xf0\x9f\x8d\x97\xf0\x9f\x8d\xb7 #dontjudgeme"""
2020-05-06 02:25:55,mackin_33,b'Tech support!! i need more episodes....TECH SUPPORT!?#UploadTV'
2020-05-06 02:25:14,atiknab,b'#UploadTV is really good.'
2020-05-06 02:19:45,ImRoyal_T,"b""Was Amazon aware that they were going to release #UploadTV while we're in quarantine when they filmed it? Everyone has on face masks.\xf0\x9f\xa4\x94"""
2020-05-06 02:19:02,Vix_Winchester,b'#UploadTV 1x04 - Sex Suit'
2020-05-06 02:16:22,rlplate,b'@andyallo Wow. SHM #UploadTV fan'
2020-05-06 02:04:35,Alex_Chatman,b'Finished Episodes 3&amp;4 of #UploadTV Really getting interesting. Will watch more  later.'
2020-05-06 02:03:30,andyallo,b'Nora got an upgrade. #newuniform @FAULTMagazine #UploadTV https://t.co/Vmya93z5rz'
2020-05-06 01:50:14,Vix_Winchester,b'#UploadTV 1x03 - The Funeral'
2020-05-06 01:50:09,tedpaulson,"b'OK, THAT. IS. FREAKY.\n\n#technews #BlackMirror #UploadTV https://t.co/kqNtZ8k0tX'"
2020-05-06 01:35:00,TabithaZaffuto,b'Wow! Need season 2 stat #UploadTV https://t.co/KHfvns4ywR'
2020-05-06 01:18:41,Bacon_Space,b'I Hope We Get a another Season of @UploadOnPrime  #UploadTV Such a Goood SHOW'
2020-05-06 01:13:06,LeighaLady,b'Binged #UploadTV and now rethinking my afterlife plans \xf0\x9f\xa4\xaa'
2020-05-06 01:06:38,Vix_Winchester,b'#UploadTV 1x02 - Five Stars'
2020-05-06 00:56:49,bhadpodcast,b'These cellphones that are hands are utterly stupid. #UploadTV'
2020-05-06 00:53:23,theaquariusj,"b'If anybodies looking for a futuristic tech-filled love comedy series, you should definetely check out #UploadOnPrime. It is exciting in every level. #PrimeVideo #series #UploadTV #recommend https://t.co/xc2ilKmPOj'"
2020-05-06 00:50:04,karlcramer,"b""#UploadTV is a fantastic new series on @PrimeVideo . Really, really funny but also intelligent, emotional, and a wicked satire of technology. If you liked Community or The Good Place, this is for you. I hope it's a hit and gets renewed. Highest binge recommendation. https://t.co/wrGK0Z9lXI"""
2020-05-06 00:47:12,bhadpodcast,"b""Ok I'm living for black girl magic with all the hair and the purple lipstick! #UploadTV"""
2020-05-06 00:26:37,PopARTmerch,b'@UploadOnPrime Just looking for another excuse to post this same pic. #Bingo #UploadTV https://t.co/T1221Hmh6v'
2020-05-06 00:21:16,Meadus42,b'@andyallo @UploadOnPrime @PrimeVideo Well done!  We loved the show and you are absolutely fantastic.  Cant wait for season 2 of @UploadOnPrime #UploadTV seriously...when is season 2!?!'
2020-05-06 00:20:44,manders4181,b'I\xe2\x80\x99ve been watching #UploadTV on @PrimeVideo. It is so good! Definitely recommend. \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb Gimme season 2! @UploadOnPrime https://t.co/jldltpthvi'
2020-05-06 00:10:01,Courtney_HG,b'Upload is truly excellent TV. #UploadTV'
2020-05-05 23:59:06,Judithleora,"b'@JudithEMoreland I spied you on #UploadTV yesterday! And yes, also #old \xf0\x9f\x98\x82'"
2020-05-05 23:43:25,allegra_edwards,b'Where would #UploadTV be without its delightful and surprising VFX?!? @fusefx did an *incredible* job. Check this out for some BTS tidbits: https://t.co/AVRQXjXozK'
2020-05-05 23:32:16,lipsticknlouis,b'Ok...  I watched all of #UploadTV \xf0\x9f\x98\xad now what? Did #workinmoms come out today?'
2020-05-05 23:29:00,NealBradley,b'I won\xe2\x80\x99t spoil it but a brief @creedbratton sighting in #UploadTV episode 3. #TheOffice'
2020-05-05 23:27:38,bhadpodcast,b'Watching Upload and the boob hiding technique is A+. His death was kind of sloppy. #UploadTV'
2020-05-05 23:19:31,amitbmoshe,"b""It's a real place, been there  #UploadTV https://t.co/xJmeNbkKhg"""
2020-05-05 23:09:50,Lazy_Egg0,"b""'Condom dispute' part cracked me up #UploadTV https://t.co/JBkUHsVjY5"""
2020-05-05 23:05:19,marcm714,"b'#UploadTV on @PrimeVideo is so good. It\xe2\x80\x99s like The Good Place but living in an app version of the afterlife. Plus, there\xe2\x80\x99s @RobbieAmell ass for a quick scene.\xf0\x9f\x98\x8d\xf0\x9f\xa4\xa4'"
2020-05-05 22:56:29,_lucyhalenews_,b'I will start with #UploadTV with @RobbieAmell . I just finished the 1st season and I can\xe2\x80\x99t wait for the next! A great tv show! @UploadOnPrime \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbb'
2020-05-05 22:41:52,Amina_Martucci,b'Season two pls. I need it now.  #UploadTV https://t.co/7tYF5dJE6M'
2020-05-05 22:30:20,ndz_nina,b'This was a fantastic binge watch.  We just need a 2nd season as soon as possible. Brilliant series. \xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\xf0\x9f\x8c\x9f\n#UploadTV \nYou all did a terrific job @RobbieAmell'
2020-05-05 22:24:01,downandnerdy757,b'Hear Ep 314 of our #podcast to find out why we say Robbie Amell is so good in  #UploadTV\nListen on SoundCloud:\nhttps://t.co/Z60UT18bxp\n\nDownload Now:\nhttps://t.co/H5JuAzeBGs'
2020-05-05 22:09:08,AlbaniacRevista,b'When u stop givin fucks  #UploadTV  \xf0\x9f\x91\x85 https://t.co/T1JQ65CzX7'
2020-05-05 22:09:05,UGNN_Official,"b""Currently halfway through a binge watch of #UploadTV and I am in love with this show. The whole concept and the characters are really appealing and it's one I can easily recommend."""
2020-05-05 22:08:43,ellenroseman,"b""It's always great for @BriefTake and my son @aplustake when an actor he interviews sends out a tweet saying she enjoyed the experience. #UploadTV @leoraheilbronn https://t.co/eprTZtRHqj"""
2020-05-05 22:05:21,AlbaniacRevista,"b""I luv #UploadTV  and yes is not for everybody but If u love scifi  and weird humor u're good... Anyway, obsESSed with their misbranding, and robot customer service which Im a big fan of \xf0\x9f\x98\x82 And yes I'd probably upload meself https://t.co/Nww5eIdWyO"""
2020-05-05 22:05:18,Travster817,b'Starting #UploadTV on @PrimeVideo'
2020-05-05 22:02:26,TheTeamForwood,b'Geez every show &amp; movie with him &amp; women. It seems like @RobbieAmell could still have chemistry with a brick wall.#UploadTV'
2020-05-05 22:01:38,Alex_Chatman,b'Watched the first two episodes of #UploadTV . I like it so far \xf0\x9f\x91\x8d'
2020-05-05 21:57:56,CaroDough,b'But of course Greg Daniels is the creator of #UploadTV ..this explains why I enjoyed it.'
2020-05-05 21:53:03,Swish_AndFlick,b'Should I watch #UploadTV \n\nAnybody like it? https://t.co/nE8ehKdIuh'
2020-05-05 21:52:16,HuffinRadaway,b'Man #UploadTV started with an interesting premise but crashed hard - what is this mystery obsession in current media?!? This should have been a critique of capitalism and fell hard'
2020-05-05 21:51:35,pastorgreen215,"b'@zainabjohnson ""is this my business tho?""\n\nme: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n\ni felt that in my soul\n\n#UploadTV'"
2020-05-05 21:41:15,somewhatalady,b'Just finished the last episode and what the fuck did I just watch? #UploadOnPrime #UploadTV'
2020-05-05 21:28:33,beccajuliabrown,"b""I binged the first 4 episodes of @primevideo's new show #UploadTV and for some reason I'm craving Panera Facebook now. @uploadonprime #sponsoredbyprimevideo"""
2020-05-05 21:22:07,andreadivalenti,"b'So, @UploadOnPrime came out on May 1st &amp; I finished it in ONE NIGHT! Comment if you\xe2\x80\x99ve already finished the season so we can talk about it! #UploadTV is available on @PrimeVideo AS WE SPEAK so get ready to binge &amp; escape reality with this amazing new show! #sponsoredbyprimevideo https://t.co/W9wjaqxWgl'"
2020-05-05 21:19:58,RealNinjaGreg,b'Finished all of Upload on Prime Video. One of the first shows I have binged in a minute. Sooo good. Can they release season 2 already? #UploadTV #PrimeVideo https://t.co/kJ7QbmTRDp'
2020-05-05 21:14:42,christainbaIe,b'@UploadOnPrime #UploadTV \n\nsnotty professor    snotty professor \n                                  when he sees \n                                      an egg. https://t.co/dD2UkSB1GZ'
2020-05-05 21:03:15,yodaspecies,"b'Yep, all this confirmed in the second half. I hope we get a season 2 announcement soon! #UploadTV https://t.co/FgUpRymgTl'"
2020-05-05 21:01:02,Impact24PR,"b""Dive into the visual effects of @UploadOnPrime! @fusefx's Marshall Krasser highlights creating VFX for a comedy show in his interview with @vfxblog!\n\n#UploadTV #FuseFX #VFX #TV #BehindTheScenes \n\nhttps://t.co/TE5L6hk0Sp"""
2020-05-05 20:54:37,AvocadoToastFC,b'#UploadTV Is amazing!! WOW'
2020-05-05 20:53:15,The_Hitman,"b""So, I wrote a thing about Amazon's new series #UploadTV \nhttps://t.co/Yr3YKg5qTk"""
2020-05-05 20:33:32,Marrs_Fers,"b""Had a fun chat with @RobbieAmell about his new series @UploadOnPrime - it's hilarious! #UploadTV @PrimeVideoCA https://t.co/pzPchxS1BS"""
